"Name","Total Population","Total (One Race)","White (One Race)","Black or African American (One Race)","American Indian and Alaska Native (One Race)","Asian (One Race)","Native Hawaiian and Other Pacific Islander (One Race)","Some Other Race (One Race)","Two or More Races"
"Stephenson County","44,630","41,699","35,911","4,456","118","306","11","897","2931"
"Tazewell County","131,343","125,211","121,078","1,683","345","1,090","51","964","6132"
"Union County","17,244","16,197","15,513","228","90","67","11","288","1047"
"Vermilion County","74,188","70,168","57,282","10,421","234","577","10","1,644","4020"
"Wabash County","11,361","10,968","10,581","58","20","251","6","52","393"
"Warren County","16,835","15,784","13,842","587","72","330","18","935","1051"
"Washington County","13,761","13,314","13,028","97","30","69","20","70","447"
"Wayne County","16,179","15,733","15,458","91","34","49","6","95","446"
"White County","13,877","13,319","13,062","91","23","65","21","57","558"
"Whiteside County","55,691","51,290","47,759","839","235","311","12","2,134","4401"
"Will County","696,355","625,921","443,562","80,979","3,974","42,849","126","54,431","70434"
"Williamson County","67,153","63,369","58,897","2,870","263","776","9","554","3784"
"Winnebago County","285,350","259,097","191,124","39,159","1,632","8,039","84","19,059","26253"
"Woodford County","38,467","36,872","36,102","278","49","217","14","212","1595"
"","","","","","","","","",""
